URL,Version,Status,OIDs,Name,Title,Description,Used
http://hapi.moh.gov.zm/fhir/CodeSystem/facility-ownership,0.1.0,active,,ZMCoreFacilityOwnershipCS,Zambia Master Facility List Facility Ownership,"Facility ownership or controlling sector represented in the Zambia Master Facility List.",
http://hapi.moh.gov.zm/fhir/CodeSystem/facility-registry-status,0.1.0,active,,ZMCoreFacilityRegistryStatusCS,Zambia Master Facility List Registry Status,"Combined operational, licensing, registration, and record-quality states represented by the current Zambia Master Facility List operation-status field.",
http://hapi.moh.gov.zm/fhir/CodeSystem/facility-type,0.1.0,active,,ZMCoreFacilityTypeCS,Zambia Master Facility List Facility Type,"Facility types represented in the Zambia Master Facility List. Police, military, private, and NGO values are retained for source compatibility but overlap with facility ownership and should not be used when a more specific service level is known.",
http://hapi.moh.gov.zm/fhir/CodeSystem/medication-level-of-access,0.1.0,draft,,ZMLevelOfAccessCS,Zambia Level of Access for Medicines,"Levels of care at which a medicine is allowed to be used, based on the ZAMMSA catalogue.",
http://hapi.moh.gov.zm/fhir/CodeSystem/medication-zammsa-sku,0.1.0,draft,,ZAMMSAMedicationCS,ZAMMSA Medication SKU Code System,"CodeSystem representing the ZAMMSA national medicines catalogue SKUs.",
http://hapi.moh.gov.zm/fhir/CodeSystem/product-group,0.1.0,draft,,ZMProductGroupCS,Zambia eLMIS Product Group,"Short product group codes from the eLMIS Master list (e.g. ess, medsurge, equip...).",
http://hapi.moh.gov.zm/fhir/CodeSystem/product-type,0.1.0,draft,,ZMProductTypeCS,Zambia Product Type (eLMIS),"Product types from the eLMIS Master Product List.",
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-channel,0.1.0,draft,,ZMCommunicationChannelCS,Zambia Communication Channel,"Delivery channels supported by the Zambia Unified Health Communication Hub.",
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-consent-action,0.1.0,draft,,ZMCommunicationConsentActionCS,Zambia Communication Consent Action,"Consent actions governing contact by the Unified Health Communication Hub.",
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-data-classification,0.1.0,draft,,ZMCommunicationDataClassificationCS,Zambia Communication Data Classification,"Data classifications that drive disclosure and channel controls for health communications.",
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-lane,0.1.0,draft,,ZMCommunicationLaneCS,Zambia Communication Lane,"Governance lanes used to separate communication purposes, access rules, and disclosure controls in the Zambia Unified Health Communication Hub.",
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-task-code,0.1.0,draft,,ZMCommunicationTaskCodeCS,Zambia Communication Task Code,"Actions used to capture acknowledgement and escalation in communication workflows.",
