URL,Version,Status,OIDs,Name,Title,Description,Used
http://hapi.moh.gov.zm/fhir/CodeSystem/facility-ownership,0.1.0,active,,ZMCoreFacilityOwnershipCS,Zambia Master Facility List Facility Ownership,"Facility ownership or controlling sector represented in the Zambia Master Facility List.","ValueSet/facility-ownership"
http://hapi.moh.gov.zm/fhir/CodeSystem/facility-registry-status,0.1.0,active,,ZMCoreFacilityRegistryStatusCS,Zambia Master Facility List Registry Status,"Combined operational, licensing, registration, and record-quality states represented by the current Zambia Master Facility List operation-status field.","ValueSet/facility-registry-status"
http://hapi.moh.gov.zm/fhir/CodeSystem/facility-type,0.1.0,active,,ZMCoreFacilityTypeCS,Zambia Master Facility List Facility Type,"Facility types represented in the Zambia Master Facility List. Police, military, private, and NGO values are retained for source compatibility but overlap with facility ownership and should not be used when a more specific service level is known.","ValueSet/facility-type"
http://hapi.moh.gov.zm/fhir/CodeSystem/medication-level-of-access,0.1.0,draft,,ZMLevelOfAccessCS,Zambia Level of Access for Medicines,"Levels of care at which a medicine is allowed to be used, based on the ZAMMSA catalogue.","ValueSet/medication-level-of-access"
http://hapi.moh.gov.zm/fhir/CodeSystem/medication-zammsa-sku,0.1.0,draft,,ZAMMSAMedicationCS,ZAMMSA Medication SKU Code System,"CodeSystem representing the ZAMMSA national medicines catalogue SKUs.","ValueSet/medication-zammsa-sku"
http://hapi.moh.gov.zm/fhir/CodeSystem/product-group,0.1.0,draft,,ZMProductGroupCS,Zambia eLMIS Product Group,"Short product group codes from the eLMIS Master list (e.g. ess, medsurge, equip...).","ValueSet/product-group"
http://hapi.moh.gov.zm/fhir/CodeSystem/product-type,0.1.0,draft,,ZMProductTypeCS,Zambia Product Type (eLMIS),"Product types from the eLMIS Master Product List.","ValueSet/product-type"
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-channel,0.1.0,draft,,ZMCommunicationChannelCS,Zambia Communication Channel,"Delivery channels supported by the Zambia Unified Health Communication Hub.","ValueSet/zm-communication-channel-vs"
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-consent-action,0.1.0,draft,,ZMCommunicationConsentActionCS,Zambia Communication Consent Action,"Consent actions governing contact by the Unified Health Communication Hub.","ValueSet/zm-communication-consent-action-vs"
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-data-classification,0.1.0,draft,,ZMCommunicationDataClassificationCS,Zambia Communication Data Classification,"Data classifications that drive disclosure and channel controls for health communications.","ValueSet/zm-communication-data-classification-vs"
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-lane,0.1.0,draft,,ZMCommunicationLaneCS,Zambia Communication Lane,"Governance lanes used to separate communication purposes, access rules, and disclosure controls in the Zambia Unified Health Communication Hub.","ValueSet/zm-communication-lane-vs"
http://hapi.moh.gov.zm/fhir/CodeSystem/zm-communication-task-code,0.1.0,draft,,ZMCommunicationTaskCodeCS,Zambia Communication Task Code,"Actions used to capture acknowledgement and escalation in communication workflows.","ValueSet/zm-communication-task-code-vs"
http://hl7.org/fhir/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/zm-core-patient-gender-vs"
http://terminology.hl7.org/CodeSystem/observation-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/zm-core-observation-category-vs"
http://terminology.hl7.org/CodeSystem/organization-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1128",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/zm-core-organization-type-vs"
http://terminology.hl7.org/CodeSystem/v3-ActCode,10.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/zm-core-encounter-type-vs"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,4.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/zm-core-marital-status-vs"
